timestamp,BPM
1744826809.833882,116.0,0
1744826810.1417367,122.0,0
1744826810.7607217,137.0,0
1744826811.0728364,149.0,0
1744826811.3841298,152.0,0
1744826811.590787,152.0,0
1744826811.9017375,168.0,0
1744826812.2132158,182.0,0
1744826812.5246248,188.0,0
1744826812.935195,179.0,0
1744826813.258841,178.0,0
1744826813.4816458,178.0,0
1744826814.1990397,174.0,0
1744826814.507259,172.0,0
1744826815.020353,166.0,0
1744826815.3341584,160.0,0
1744826815.9451253,149.0,0
1744826816.766612,131.0,0
1744826817.7808115,112.0,0
1744826818.495802,109.0,0
1744826819.3149686,99.0,0
1744826819.7272286,95.0,0
1744826820.148334,99.0,0
1744826820.967577,93.0,0
1744826821.6805,90.0,0
1744826822.6033983,83.0,0
1744826823.215604,82.0,0
1744826824.3426547,79.0,0
1744826825.2585428,81.0,0
1744826825.9751585,80.0,0
1744826826.389593,84.0,0
1744826826.7001715,86.0,0
1744826827.117262,86.0,0
1744826827.6306806,90.0,0
1744826827.939739,95.0,0
1744826828.3506238,104.0,0
1744826829.1670794,100.0,0
1744826829.7791052,109.0,0
1744826831.1017926,102.0,0
1744826832.1212492,97.0,0
1744826832.8358688,92.0,0
1744826833.2448456,91.0,0
1744826833.759796,91.0,0
1744826834.0719316,92.0,0
1744826834.4878862,91.0,0
1744826835.5122623,84.0,0
1744826836.226788,84.0,0
1744826836.8403254,84.0,0
1744826837.6628785,90.0,0
1744826838.1771264,99.0,0
1744826838.4860659,106.0,0
1744826838.907124,106.0,0
1744826839.326403,108.0,0
1744826839.8373902,104.0,0
1744826840.0480494,108.0,0
1744826840.4585047,121.0,0
1744826840.6719909,136.0,0
1744826840.8903778,147.0,0
1744826841.59993,154.0,0
1744826841.9127448,159.0,0
1744826842.3223994,154.0,0
1744826842.7325966,161.0,0
1744826842.9410167,165.0,0
1744826843.2484539,174.0,0
1744826843.568616,173.0,0
1744826843.8789766,174.0,0
1744826844.090826,173.0,0
1744826844.4004219,171.0,0
1744826844.821269,185.0,0
1744826845.53397,169.0,0
1744826846.149773,157.0,0
1744826847.0625842,137.0,0
1744826847.7748835,124.0,0
1744826848.185146,120.0,0
1744826848.3950028,122.0,0
1744826849.020246,116.0,0
1744826849.4308507,111.0,0
1744826849.8368697,111.0,0
1744826850.5541852,105.0,0
1744826850.9624004,110.0,0
1744826851.1673868,120.0,0
1744826851.4769387,135.0,0
1744826851.7949686,146.0,0
1744826852.5049067,138.0,0
1744826852.9157345,133.0,0
1744826853.3208797,138.0,0
1744826853.6332526,145.0,0
1744826853.8430479,148.0,0
1744826854.3594441,155.0,0
1744826854.8737116,152.0,0
1744826855.183588,150.0,0
1744826855.39052,151.0,0
1744826855.7035666,156.0,0
1744826856.022273,173.0,0
1744826856.5372055,168.0,0
1744826856.8557606,171.0,0
1744826857.0624506,171.0,0
1744826857.5760932,162.0,0
1744826857.8802693,169.0,0
1744826858.288923,176.0,0
1744826858.5987132,175.0,0
1744826859.0094614,169.0,0
1744826859.3194547,167.0,0
1744826859.630059,167.0,0
1744826860.243502,160.0,0
1744826860.854876,149.0,0
1744826861.262237,143.0,0
1744826861.4694662,151.0,0
1744826864.7002413,230.0,0
1744826865.120272,219.0,0
1744826865.329505,220.0,0
1744826865.752585,210.0,0
1744826866.1662662,201.0,0
1744826890.8823156,51.0,0
1744826891.6920342,53.0,0
1744826892.70726,54.0,0
1744826893.417936,56.0,0
1744826894.2269273,58.0,0
1744826895.235557,59.0,0
1744826895.8403287,62.0,0
1744826896.2448466,68.0,0
1744826896.751278,73.0,0
1744826897.2616355,79.0,0
1744826897.9741662,84.0,0
1744826898.6831605,86.0,0
1744826898.9943297,94.0,0
1744826899.2999704,102.0,0
1744826899.606629,111.0,0
1744826900.317834,117.0,0
1744826900.9256818,118.0,0
1744826901.2358556,119.0,0
1744826901.540978,125.0,0
1744826902.0491424,125.0,0
1744826902.5547428,131.0,0
1744826902.8623693,141.0,0
1744826903.1709082,146.0,0
1744826903.4770796,143.0,0
1744826903.7819474,143.0,0
1744826904.0886838,162.0,0
1744826904.4956653,165.0,0
1744826905.1021593,156.0,0
1744826905.5092561,151.0,0
1744826905.715406,164.0,0
1744826906.0207925,171.0,0
1744826906.3299022,174.0,0
1744826906.6368465,170.0,0
1744826907.3459246,158.0,0
1744826907.753657,152.0,0
1744826908.1593144,146.0,0
1744826908.3658657,155.0,0
1744826908.6751153,164.0,0
1744826909.0815256,163.0,0
1744826909.386738,163.0,0
1744826910.0976562,150.0,0
1744826910.505867,144.0,0
1744826910.7134488,147.0,0
1744826911.0182629,160.0,0
1744826911.3224938,166.0,0
1744826912.4327726,141.0,0
1744826913.0424135,128.0,0
1744826913.7504747,119.0,0
1744826914.155867,119.0,0
1744826914.459203,118.0,0
1744826915.670792,107.0,0
